municipality_code,staged_hospital_name,egen_institution_name,egen_institution_code,emergency_institution_type,overall_grade,mandatory_area_result,emergency_physician_grade,emergency_specialist_grade,emergency_nurse_grade,physician_specialty_grade,nurse_specialty_grade,bed_saturation_grade,severe_patient_length_of_stay_grade,long_stay_patient_index_grade,timely_specialist_direct_care_grade,definitive_treatment_provision_grade,regional_119_transfer_acceptance_share_grade,evaluation_year,match_score,match_review_required
41110,경기도의료원 수원병원,경기도의료원수원병원,A2100032,지역응급의료기관,A,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41110,동수원병원,의료법인녹산의료재단동수원병원,A2100009,지역응급의료센터,B,PASS,1,1,1,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
41110,명인의료재단 화홍병원,의료법인명인의료재단화홍병원,A2117135,지역응급의료센터,B,PASS,1,1,2,(해당없음),(해당없음),1,3,(해당없음),1,1,3,2024,1.0,False
41110,성빈센트병원,가톨릭대학교성빈센트병원,A2100012,지역응급의료센터,A,PASS,1,1,1,(해당없음),(해당없음),1,3,(해당없음),1,1,1,2024,1.0,False
41110,수원윌스기념병원,의료법인토마스의료재단윌스기념병원,A2100175,지역응급의료기관,B,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,0.75,False
41110,아주대학교병원,아주대학교병원,A2100002,권역응급의료센터,A,PASS,(해당없음),1,1,(해당없음),(해당없음),2,1,(해당없음),2,1,1,2024,1.0,False
41110,의료법인덕산의료재단 수원덕산병원,(의)영문의료재단다보스병원,A2100019,지역응급의료센터,B,PASS,2,1,2,(해당없음),(해당없음),1,1,(해당없음),1,1,4,2024,0.5,True
41130,국군수도병원,국군수도병원,A2100258,지역응급의료기관,B,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41130,분당서울대병원,분당서울대학교병원,A2100001,권역응급의료센터,B,PASS,(해당없음),1,1,(해당없음),(해당없음),3,4,(해당없음),3,2,1,2024,0.875,False
41130,분당제생병원,대진의료재단분당제생병원,A2100025,지역응급의료센터,A,PASS,2,2,3,(해당없음),(해당없음),1,1,(해당없음),2,1,1,2024,1.0,False
41130,분당차병원,차의과학대학교분당차병원,A2100030,권역응급의료센터,A,PASS,(해당없음),2,2,(해당없음),(해당없음),1,3,(해당없음),1,1,2,2024,1.0,False
41130,성남시의료원,성남시의료원,A2116806,지역응급의료센터,C,FAIL,2,1,1,(해당없음),(해당없음),1,1,(해당없음),1,2,4,2024,1.0,False
41130,성남정병원,성남중앙병원,A2100011,지역응급의료기관,A,PASS,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,0.727273,False
41150,가톨릭대의정부성모병원,가톨릭대학교의정부성모병원,A2100040,권역응급의료센터,A,PASS,(해당없음),1,1,(해당없음),(해당없음),1,2,(해당없음),1,3,1,2024,0.916667,False
41150,경기도의료원 의정부병원,경기도의료원의정부병원,A2100043,지역응급의료기관,C,FAIL,1,1,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41150,의정부백병원,의료법인영동의료재단의정부백병원,A2100034,지역응급의료기관,B,PASS,1,2,1,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41150,의정부을지대학교병원,학교법인을지학원의정부을지대학교병원,A2117994,지역응급의료센터,A,PASS,3,2,1,(해당없음),(해당없음),1,1,(해당없음),1,1,2,2024,1.0,False
41150,추병원,추병원,A2100150,지역응급의료기관,B,PASS,1,1,2,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41170,안양샘병원,효산의료재단안양샘병원,A2100015,지역응급의료센터,B,PASS,1,1,1,(해당없음),(해당없음),1,1,(해당없음),1,2,3,2024,1.0,False
41170,한림대성심병원,한림대학교성심병원,A2100004,권역응급의료센터,A,PASS,(해당없음),1,1,(해당없음),(해당없음),1,1,(해당없음),1,1,1,2024,0.875,False
41190,가톨릭대부천성모병원,가톨릭대학교부천성모병원,A2100052,지역응급의료센터,A,PASS,3,2,1,(해당없음),(해당없음),1,1,(해당없음),1,1,1,2024,0.909091,False
41190,다니엘종합병원,의료법인대인의료재단다니엘종합병원,A2100050,지역응급의료기관,B,PASS,2,1,3,(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),(해당없음),2024,1.0,False
41190,부천세종병원,부천세종병원,A2100055,지역응급의료센터,B,PASS,1,1,1,(해당없음),(해당없음),1,1,(해당없음),1,1,3,2024,1.0,False
