년도,월,본부구분,출동건수,이송건수,이송환자수
2020,01,중앙,0,0,0
2020,02,중앙,2,2,2
2020,03,중앙,2,1,1
2020,04,중앙,2,2,2
2020,05,중앙,5,3,3
2020,06,중앙,3,3,3
2020,07,중앙,5,5,5
2020,08,중앙,7,2,2
2020,09,중앙,6,6,6
2020,10,중앙,12,12,12
2020,11,중앙,7,7,7
2020,12,중앙,1,0,0
2020,01,서울,42165,27288,27466
2020,02,서울,35958,21610,21765
2020,03,서울,34796,19522,19640
2020,04,서울,35450,20337,20464
2020,05,서울,40967,23746,23930
2020,06,서울,42018,24260,24446
2020,07,서울,43473,25345,25542
2020,08,서울,44456,23836,24173
2020,09,서울,38540,21345,21541
2020,10,서울,41397,23256,23427
2020,11,서울,38379,22220,22544
2020,12,서울,36351,20756,21529
2020,01,부산,15746,9746,9832
2020,02,부산,12946,7436,7498
2020,03,부산,12863,6778,6846
2020,04,부산,13181,7076,7138
2020,05,부산,14713,8227,8296
2020,06,부산,14992,8513,8604
2020,07,부산,15932,8938,9074
2020,08,부산,16683,8896,8987
2020,09,부산,14716,7999,8073
2020,10,부산,14635,8059,8153
2020,11,부산,13962,7691,7817
2020,12,부산,12783,7173,7462
2020,01,대구,10418,6954,7020
2020,02,대구,8955,5530,5632
2020,03,대구,9589,4965,5087
2020,04,대구,8880,5163,5260
2020,05,대구,9932,5785,5837
2020,06,대구,9948,5903,5952
2020,07,대구,10473,6319,6366
2020,08,대구,11142,6519,6587
2020,09,대구,10135,5954,6017
2020,10,대구,10284,6340,6399
2020,11,대구,9752,6040,6086
2020,12,대구,9871,5951,6056
2020,01,인천,12837,8452,8541
2020,02,인천,11440,7154,7247
2020,03,인천,10593,6641,6744
2020,04,인천,10671,6714,6804
2020,05,인천,12127,7579,7649
2020,06,인천,12637,7917,8051
2020,07,인천,13960,8397,8518
2020,08,인천,14099,8397,8488
2020,09,인천,12435,7324,7430
2020,10,인천,13369,7917,8022
2020,11,인천,12121,7325,7416
2020,12,인천,11296,6875,6982
2020,01,광주,5444,3907,3974
2020,02,광주,4586,3212,3250
2020,03,광주,4483,3082,3110
2020,04,광주,4859,3222,3269
2020,05,광주,5767,3832,3886
2020,06,광주,6061,4021,4081
2020,07,광주,5847,3751,3844
2020,08,광주,6119,3791,3844
2020,09,광주,5437,3542,3610
2020,10,광주,5468,3670,3717
2020,11,광주,5416,3482,3532
2020,12,광주,5179,3330,3429
2020,01,대전,6508,4466,4508
2020,02,대전,5525,3607,3648
2020,03,대전,5391,3172,3202
2020,04,대전,5574,3322,3349
2020,05,대전,6413,3903,3938
2020,06,대전,6414,3824,3867
2020,07,대전,6666,3828,3859
2020,08,대전,6953,3907,3933
2020,09,대전,6273,3582,3605
2020,10,대전,6459,3782,3824
2020,11,대전,5921,3561,3587
2020,12,대전,5829,3313,3349
2020,01,울산,3518,2544,2590
2020,02,울산,3126,2106,2146
2020,03,울산,3218,2050,2086
2020,04,울산,3149,2027,2073
2020,05,울산,3431,2301,2338
2020,06,울산,3721,2509,2564
2020,07,울산,3866,2489,2565
2020,08,울산,3921,2650,2721
2020,09,울산,3651,2351,2394
2020,10,울산,3648,2332,2437
2020,11,울산,3623,2360,2402
2020,12,울산,3330,2194,2293
2020,01,세종,1179,819,836
2020,02,세종,971,646,654
